turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,greedy,"[1, 6]","[7, 0] -> [6, 0]",Up,"[7, 6] -> [6, 6]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
2,p2,random,"[-5, -3]","[2, 4] -> [3, 3]",Down-Left,"[2, 2] -> [3, 1]",Down-Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
3,p1,greedy,"[6, 4]","[6, 6] -> [5, 6]",Up,"[8, 4] -> [8, 5]",Right,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  4  0]
4,p2,random,"[-1, -6]","[1, 0] -> [0, 0]",Up,"[1, 6] -> [0, 6]",Up,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  4  0]
5,p1,greedy,"[4, 2]","[8, 5] -> [8, 6]",Right,"[8, 2] -> [8, 3]",Right,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  2  0  0  4]
6,p2,random,"[-5, -3]","[3, 3] -> [2, 4]",Up-Right,"[3, 1] -> [2, 2]",Up-Right,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  2  0  0  4]
7,p1,greedy,"[6, 4]","[5, 6] -> [4, 6]",Up,"[8, 6] -> [8, 5]",Left,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  2  0  4  0]
8,p2,random,"[-3, -5]","[2, 2] -> [3, 1]",Down-Left,"[2, 4] -> [3, 3]",Down-Left,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  2  0  4  0]
9,p1,greedy,"[2, 4]","[8, 3] -> [8, 4]",Right,"[8, 5] -> [8, 6]",Right,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  2  0  4]
10,p2,random,"[-3, -5]","[3, 1] -> [3, 0]",Left,"[3, 3] -> [4, 3]",Down,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [-3  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  6] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  2  0  4]
11,p1,greedy,"[5, 3]","[6, 4] -> [5, 3]",Up-Left,"[6, 2] -> [7, 2]",Down,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [-3  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  6] | [ 0  0  0  5  0  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  2  0  4]
12,p2,random,"[-1, -3]","[0, 0] -> [1, 0]",Down,"[3, 0] -> [4, 1]",Down-Right,0,0,[ 0  0 -2  0 -4  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  6] | [ 0  0  0  5  0  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  2  0  4]
13,p1,greedy,"[6, 4]","[4, 6] -> [3, 6]",Up,"[8, 6] -> [7, 6]",Up,0,0,[ 0  0 -2  0 -4  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  5  0  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  3  0  0  0  4] | [ 0  0  0  0  2  0  0]
14,p2,random,"[-3, -5]","[4, 1] -> [4, 2]",Right,"[4, 3] -> [5, 4]",Down-Right,0,1,[ 0  0 -2  0 -4  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  5 -5  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  3  0  0  0  4] | [ 0  0  0  0  2  0  0]
15,p1,greedy,"[6, 4]","[3, 6] -> [2, 6]",Up,"[7, 6] -> [6, 5]",Up-Left,0,1,[ 0  0 -2  0 -4  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  5 -5  0  0] | [ 1  0  0  0  0  4  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  2  0  0]
16,p2,random,"[-6, -3]","[0, 6] -> [1, 6]",Down,"[4, 2] -> [3, 2]",Up,0,1,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  5 -5  0  0] | [ 1  0  0  0  0  4  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  2  0  0]
17,p1,greedy,"[5, 6]","[5, 3] -> [4, 4]",Up-Right,"[2, 6] -> [1, 5]",Up-Left,2,2,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  6 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0 -5  0  0] | [ 1  0  0  0  0  4  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  2  0  0]
18,p2,random,"[-3, -2]","[3, 2] -> [4, 2]",Down,"[0, 2] -> [1, 2]",Down,3,3,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  6 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  5  0  0] | [ 0  0  0  0 -5  0  0] | [ 1  0  0  0  0  4  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  2  0  0]
