turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,greedy,"[3, 5]","[6, 2] -> [5, 1]",Up-Left,"[6, 4] -> [5, 5]",Up-Right,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
2,p2,random,"[-2, -3]","[0, 2] -> [1, 2]",Down,"[2, 2] -> [3, 1]",Down-Left,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
3,p1,greedy,"[5, 3]","[5, 5] -> [4, 6]",Up-Right,"[5, 1] -> [4, 1]",Up,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  3  0  0  0  0  5] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
4,p2,random,"[-4, -5]","[0, 4] -> [1, 4]",Down,"[2, 4] -> [3, 5]",Down-Right,0,0,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0 -5  0] | [ 0  3  0  0  0  0  5] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
5,p1,greedy,"[5, 3]","[4, 6] -> [3, 6]",Up,"[4, 1] -> [5, 2]",Down-Right,0,0,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0 -5  5] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
6,p2,random,"[-3, -5]","[3, 1] -> [3, 0]",Left,"[3, 5] -> [4, 6]",Down-Right,1,1,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [-3  0  0  0  0  0  5] | [ 0  0  0  0  0  0 -5] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
7,p1,greedy,"[1, 3]","[7, 0] -> [6, 0]",Up,"[5, 2] -> [4, 2]",Up,1,1,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [-3  0  0  0  0  0  5] | [ 0  0  3  0  0  0 -5] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
8,p2,random,"[-3, -2]","[3, 0] -> [4, 0]",Down,"[1, 2] -> [0, 2]",Up,2,1,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  5] | [-3  0  3  0  0  0 -5] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
9,p1,greedy,"[1, 3]","[6, 0] -> [6, 1]",Right,"[4, 2] -> [4, 1]",Left,2,1,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  5] | [-3  3  0  0  0  0 -5] | [ 0  0  0  0  0  0  0] | [ 0  1  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
10,p2,random,"[-4, -1]","[1, 4] -> [2, 4]",Down,"[1, 0] -> [0, 0]",Up,2,1,[-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0 -4  0  0] | [ 0  0  0  0  0  0  5] | [-3  3  0  0  0  0 -5] | [ 0  0  0  0  0  0  0] | [ 0  1  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
11,p1,greedy,"[3, 1]","[4, 1] -> [3, 1]",Up,"[6, 1] -> [6, 2]",Right,2,1,[-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0 -4  0  0] | [ 0  3  0  0  0  0  5] | [-3  0  0  0  0  0 -5] | [ 0  0  0  0  0  0  0] | [ 0  0  1  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
12,p2,random,"[-1, -3]","[0, 0] -> [1, 0]",Down,"[4, 0] -> [3, 0]",Up,2,1,[ 0  0 -2  0  0  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0 -4  0  0] | [-3  3  0  0  0  0  5] | [ 0  0  0  0  0  0 -5] | [ 0  0  0  0  0  0  0] | [ 0  0  1  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
13,p1,greedy,"[3, 5]","[3, 1] -> [2, 0]",Up-Left,"[3, 6] -> [3, 5]",Left,2,1,[ 0  0 -2  0  0  0  0] | [-1  0  0  0  0  0 -6] | [ 3  0  0  0 -4  0  0] | [-3  0  0  0  0  5  0] | [ 0  0  0  0  0  0 -5] | [ 0  0  0  0  0  0  0] | [ 0  0  1  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
14,p2,random,"[-1, -6]","[1, 0] -> [0, 0]",Up,"[1, 6] -> [0, 6]",Up,3,1,[-1  0 -2  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 3  0  0  0 -4  0  0] | [-3  0  0  0  0  5  0] | [ 0  0  0  0  0  0 -5] | [ 0  0  0  0  0  0  0] | [ 0  0  1  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
