turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,minimax,"[6, 1]","[7, 6] -> [6, 6]",Up,"[7, 0] -> [6, 0]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
2,p2,greedy,"[-3, -5]","[2, 2] -> [3, 2]",Down,"[2, 4] -> [3, 4]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
3,p1,minimax,"[6, 5]","[6, 6] -> [7, 6]",Down,"[6, 4] -> [5, 4]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
4,p2,greedy,"[-3, -1]","[3, 2] -> [3, 1]",Left,"[1, 0] -> [0, 0]",Up,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
5,p1,minimax,"[6, 5]","[7, 6] -> [6, 6]",Up,"[5, 4] -> [4, 4]",Up,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0 -5  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
6,p2,greedy,"[-3, -5]","[3, 1] -> [4, 0]",Down-Left,"[3, 4] -> [3, 3]",Left,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [-3  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
7,p1,minimax,"[2, 3]","[8, 2] -> [8, 1]",Left,"[6, 2] -> [6, 3]",Right,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [-3  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  3  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  0]
8,p2,greedy,"[-3, -4]","[4, 0] -> [4, 1]",Right,"[0, 4] -> [1, 4]",Down,0,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 0 -3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  3  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  0]
9,p1,minimax,"[3, 2]","[6, 3] -> [6, 2]",Left,"[8, 1] -> [8, 0]",Left,0,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 0 -3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 2  0  0  0  4  0  0]
10,p2,greedy,"[-4, -6]","[1, 4] -> [0, 4]",Up,"[1, 6] -> [2, 6]",Down,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0 -5  0  0  0] | [ 0 -3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 2  0  0  0  4  0  0]
11,p1,minimax,"[4, 6]","[8, 4] -> [8, 3]",Left,"[6, 6] -> [6, 5]",Left,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0 -5  0  0  0] | [ 0 -3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  6  0] | [ 0  0  0  0  0  0  0] | [ 2  0  0  4  0  0  0]
12,p2,greedy,"[-5, -1]","[3, 3] -> [2, 3]",Up,"[0, 0] -> [1, 0]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0 -5  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  6  0] | [ 0  0  0  0  0  0  0] | [ 2  0  0  4  0  0  0]
13,p1,minimax,"[3, 5]","[6, 2] -> [6, 3]",Right,"[4, 4] -> [3, 5]",Up-Right,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0 -5  0  0 -6] | [ 0  0  0  0  0  5  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  3  0  6  0] | [ 0  0  0  0  0  0  0] | [ 2  0  0  4  0  0  0]
14,p2,greedy,"[-5, -3]","[2, 3] -> [3, 4]",Down-Right,"[4, 1] -> [5, 2]",Down-Right,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0 -5  5  0] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 1  0  0  3  0  6  0] | [ 0  0  0  0  0  0  0] | [ 2  0  0  4  0  0  0]
15,p1,minimax,"[5, 2]","[3, 5] -> [2, 4]",Up-Left,"[8, 0] -> [8, 1]",Right,1,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  5  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 1  0  0  3  0  6  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  4  0  0  0]
16,p2,greedy,"[-3, -5]","[5, 2] -> [6, 2]",Down,"[3, 4] -> [3, 3]",Left,1,2,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  5  0 -6] | [ 0  0  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0 -3  3  0  6  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  4  0  0  0]
