turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,minimax,"[1, 6]","[7, 0] -> [6, 0]",Up,"[7, 6] -> [6, 6]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
2,p2,greedy,"[-1, -6]","[1, 0] -> [0, 0]",Up,"[1, 6] -> [0, 6]",Up,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
3,p1,minimax,"[5, 6]","[6, 4] -> [5, 5]",Up-Right,"[6, 6] -> [7, 6]",Down,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
4,p2,greedy,"[-3, -5]","[2, 2] -> [2, 1]",Left,"[2, 4] -> [2, 5]",Right,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
5,p1,minimax,"[3, 1]","[6, 2] -> [5, 2]",Up,"[6, 0] -> [5, 0]",Up,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
6,p2,greedy,"[-3, -5]","[2, 1] -> [3, 2]",Down-Right,"[2, 5] -> [3, 5]",Down,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
7,p1,minimax,"[5, 3]","[5, 5] -> [5, 6]",Right,"[5, 2] -> [6, 2]",Down,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  5] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
8,p2,greedy,"[-3, -5]","[3, 2] -> [4, 1]",Down-Left,"[3, 5] -> [2, 4]",Up-Left,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 1  0  0  0  0  0  5] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
9,p1,minimax,"[3, 4]","[6, 2] -> [5, 2]",Up,"[8, 4] -> [7, 4]",Up,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 1  0  3  0  0  0  5] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 0  0  2  0  0  0  0]
10,p2,greedy,"[-2, -5]","[0, 2] -> [1, 2]",Down,"[2, 4] -> [2, 5]",Right,0,0,[-1  0  0  0 -4  0 -6] | [ 0  0 -2  0  0  0  0] | [ 0  0  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 1  0  3  0  0  0  5] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 0  0  2  0  0  0  0]
11,p1,minimax,"[3, 1]","[5, 2] -> [4, 2]",Up,"[5, 0] -> [4, 0]",Up,0,1,[-1  0  0  0 -4  0 -6] | [ 0  0 -2  0  0  0  0] | [ 0  0  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 1 -3  3  0  0  0  0] | [ 0  0  0  0  0  0  5] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 0  0  2  0  0  0  0]
