turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,minimax,"[6, 1]","[7, 6] -> [6, 6]",Up,"[7, 0] -> [6, 0]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
2,p2,greedy,"[-6, -1]","[1, 6] -> [0, 6]",Up,"[1, 0] -> [0, 0]",Up,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
3,p1,minimax,"[2, 4]","[8, 2] -> [8, 1]",Left,"[8, 4] -> [8, 5]",Right,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  0  4  0]
4,p2,greedy,"[-5, -3]","[2, 4] -> [3, 3]",Down-Left,"[2, 2] -> [3, 1]",Down-Left,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  0  4  0]
5,p1,minimax,"[2, 4]","[8, 1] -> [8, 2]",Right,"[8, 5] -> [8, 6]",Right,0,0,[-1  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  0  4]
6,p2,greedy,"[-4, -3]","[0, 4] -> [1, 4]",Down,"[3, 1] -> [4, 1]",Down,0,0,[-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  0  4]
7,p1,minimax,"[3, 1]","[6, 2] -> [5, 2]",Up,"[6, 0] -> [7, 0]",Down,0,0,[-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  0  0  4]
8,p2,greedy,"[-1, -2]","[0, 0] -> [1, 0]",Down,"[0, 2] -> [1, 2]",Down,0,0,[ 0  0  0  0  0  0 -6] | [-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  0  0  4]
9,p1,minimax,"[3, 1]","[5, 2] -> [4, 3]",Up-Right,"[7, 0] -> [6, 0]",Up,0,0,[ 0  0  0  0  0  0 -6] | [-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 0 -3  0  3  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  0  4]
10,p2,greedy,"[-4, -3]","[1, 4] -> [2, 5]",Down-Right,"[4, 1] -> [5, 0]",Down-Left,0,0,[ 0  0  0  0  0  0 -6] | [-1  0 -2  0  0  0  0] | [ 0  0  0  0  0 -4  0] | [ 0  0  0 -5  0  0  0] | [ 0  0  0  3  0  0  0] | [-3  0  0  0  0  0  0] | [ 1  0  0  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  0  4]
11,p1,minimax,"[5, 6]","[6, 4] -> [6, 3]",Left,"[6, 6] -> [6, 5]",Left,0,0,[ 0  0  0  0  0  0 -6] | [-1  0 -2  0  0  0  0] | [ 0  0  0  0  0 -4  0] | [ 0  0  0 -5  0  0  0] | [ 0  0  0  3  0  0  0] | [-3  0  0  0  0  0  0] | [ 1  0  0  5  0  6  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  0  4]
12,p2,greedy,"[-1, -3]","[1, 0] -> [2, 0]",Down,"[5, 0] -> [5, 1]",Right,0,0,[ 0  0  0  0  0  0 -6] | [ 0  0 -2  0  0  0  0] | [-1  0  0  0  0 -4  0] | [ 0  0  0 -5  0  0  0] | [ 0  0  0  3  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 1  0  0  5  0  6  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  0  4]
13,p1,minimax,"[4, 2]","[8, 6] -> [8, 5]",Left,"[8, 2] -> [8, 3]",Right,0,0,[ 0  0  0  0  0  0 -6] | [ 0  0 -2  0  0  0  0] | [-1  0  0  0  0 -4  0] | [ 0  0  0 -5  0  0  0] | [ 0  0  0  3  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 1  0  0  5  0  6  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  2  0  4  0]
14,p2,greedy,"[-3, -5]","[5, 1] -> [6, 2]",Down-Right,"[3, 3] -> [4, 4]",Down-Right,0,1,[ 0  0  0  0  0  0 -6] | [ 0  0 -2  0  0  0  0] | [-1  0  0  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  3 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0 -3  5  0  6  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  2  0  4  0]
15,p1,minimax,"[3, 5]","[4, 3] -> [3, 2]",Up-Left,"[6, 3] -> [5, 3]",Up,2,2,[ 0  0  0  0  0  0 -6] | [ 0  0 -2  0  0  0  0] | [-1  0  0  0  0 -4  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  5  0  0  0] | [ 1  0 -3  0  0  6  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  2  0  4  0]
16,p2,greedy,"[-4, -1]","[2, 5] -> [2, 4]",Left,"[2, 0] -> [3, 0]",Down,2,2,[ 0  0  0  0  0  0 -6] | [ 0  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0  0] | [-1  0  3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  5  0  0  0] | [ 1  0 -3  0  0  6  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  2  0  4  0]
17,p1,minimax,"[6, 3]","[6, 5] -> [5, 6]",Up-Right,"[3, 2] -> [2, 2]",Up,3,2,[ 0  0  0  0  0  0 -6] | [ 0  0 -2  0  0  0  0] | [ 0  0  3  0 -4  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  5  0  0  6] | [ 1  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  2  0  4  0]
