turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,minimax,"[6, 1]","[7, 6] -> [6, 6]",Up,"[7, 0] -> [6, 0]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
2,p2,minimax,"[-6, -1]","[1, 6] -> [2, 6]",Down,"[1, 0] -> [2, 0]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
3,p1,minimax,"[6, 5]","[6, 6] -> [7, 6]",Down,"[6, 4] -> [5, 4]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
4,p2,minimax,"[-2, -5]","[0, 2] -> [0, 1]",Left,"[2, 4] -> [3, 4]",Down,0,0,[ 0 -2  0  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
5,p1,minimax,"[6, 5]","[7, 6] -> [6, 6]",Up,"[5, 4] -> [6, 4]",Down,0,0,[ 0 -2  0  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
6,p2,minimax,"[-5, -2]","[3, 4] -> [2, 4]",Up,"[0, 1] -> [0, 2]",Right,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
7,p1,minimax,"[4, 3]","[8, 4] -> [8, 5]",Right,"[6, 2] -> [5, 2]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 1  0  0  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  4  0]
8,p2,minimax,"[-1, -3]","[2, 0] -> [1, 0]",Up,"[2, 2] -> [3, 2]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0 -5  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 1  0  0  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  4  0]
9,p1,minimax,"[4, 3]","[8, 5] -> [8, 4]",Left,"[5, 2] -> [6, 2]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0 -5  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
10,p2,minimax,"[-1, -3]","[1, 0] -> [2, 0]",Down,"[3, 2] -> [4, 2]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
11,p1,minimax,"[3, 1]","[6, 2] -> [5, 2]",Up,"[6, 0] -> [7, 0]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
12,p2,minimax,"[-3, -5]","[4, 2] -> [3, 2]",Up,"[2, 4] -> [3, 4]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
13,p1,minimax,"[3, 1]","[5, 2] -> [6, 2]",Down,"[7, 0] -> [8, 0]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
14,p2,minimax,"[-5, -3]","[3, 4] -> [4, 4]",Down,"[3, 2] -> [2, 2]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  0]
15,p1,minimax,"[3, 1]","[6, 2] -> [5, 2]",Up,"[8, 0] -> [7, 0]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
16,p2,minimax,"[-5, -6]","[4, 4] -> [5, 4]",Down,"[2, 6] -> [3, 5]",Down-Left,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0  0  0] | [ 0  0  0  0  0 -6  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0 -5  0  0] | [ 0  0  0  0  5  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
17,p1,minimax,"[1, 3]","[7, 0] -> [6, 0]",Up,"[5, 2] -> [4, 2]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0  0  0] | [ 0  0  0  0  0 -6  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 1  0  0  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
18,p2,minimax,"[-5, -4]","[5, 4] -> [6, 5]",Down-Right,"[0, 4] -> [0, 5]",Right,0,1,[ 0  0 -2  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0  0  0] | [ 0  0  0  0  0 -6  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  5 -5  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
19,p1,minimax,"[1, 3]","[6, 0] -> [6, 1]",Right,"[4, 2] -> [3, 2]",Up,0,1,[ 0  0 -2  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0  0  0] | [ 0  0  3  0  0 -6  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  1  0  0  5 -5  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
20,p2,minimax,"[-6, -4]","[3, 5] -> [4, 4]",Down-Left,"[0, 5] -> [0, 4]",Left,0,1,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0 -6  0  0] | [ 0  0  0  0  0  0  0] | [ 0  1  0  0  5 -5  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
21,p1,minimax,"[2, 3]","[8, 2] -> [8, 1]",Left,"[3, 2] -> [3, 1]",Left,0,1,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0 -6  0  0] | [ 0  0  0  0  0  0  0] | [ 0  1  0  0  5 -5  6] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  0]
22,p2,minimax,"[-3, -4]","[2, 2] -> [3, 2]",Down,"[0, 4] -> [0, 5]",Right,0,1,[ 0  0 -2  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0  0  0  0] | [ 0  3 -3  0  0  0  0] | [ 0  0  0  0 -6  0  0] | [ 0  0  0  0  0  0  0] | [ 0  1  0  0  5 -5  6] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  0]
23,p1,minimax,"[5, 1]","[6, 4] -> [5, 4]",Up,"[6, 1] -> [5, 0]",Up-Left,1,1,[ 0  0 -2  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0  0  0  0] | [ 0  3 -3  0  0  0  0] | [ 0  0  0  0 -6  0  0] | [ 1  0  0  0  5  0  0] | [ 0  0  0  0  0 -5  6] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  0]
24,p2,minimax,"[-3, -2]","[3, 2] -> [4, 1]",Down-Left,"[0, 2] -> [0, 3]",Right,1,2,[ 0  0  0 -2  0 -4  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0 -3  0  0 -6  0  0] | [ 1  0  0  0  5  0  0] | [ 0  0  0  0  0 -5  6] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  0]
25,p1,minimax,"[4, 5]","[8, 4] -> [7, 4]",Up,"[5, 4] -> [4, 3]",Up-Left,2,2,[ 0  0  0 -2  0 -4  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0 -3  0  5 -6  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  0 -5  6] | [ 0  0  0  0  4  0  0] | [ 0  2  0  0  0  0  0]
26,p2,minimax,"[-4, -5]","[0, 5] -> [1, 6]",Down-Right,"[6, 5] -> [5, 6]",Up-Right,2,2,[ 0  0  0 -2  0  0  0] | [ 0  0  0  0  0  0 -4] | [-1  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0 -3  0  5 -6  0  0] | [ 1  0  0  0  0  0 -5] | [ 0  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0] | [ 0  2  0  0  0  0  0]
