turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,minimax,"[1, 6]","[7, 0] -> [6, 0]",Up,"[7, 6] -> [8, 6]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
2,p2,minimax,"[-1, -6]","[1, 0] -> [2, 0]",Down,"[1, 6] -> [2, 6]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
3,p1,minimax,"[2, 1]","[8, 2] -> [8, 1]",Left,"[6, 0] -> [5, 0]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  6]
4,p2,minimax,"[-3, -1]","[2, 2] -> [3, 2]",Down,"[2, 0] -> [1, 0]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0 -5  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  6]
5,p1,minimax,"[4, 2]","[8, 4] -> [8, 3]",Left,"[8, 1] -> [8, 0]",Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0 -5  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 2  0  0  4  0  0  6]
6,p2,minimax,"[-3, -1]","[3, 2] -> [4, 3]",Down-Right,"[1, 0] -> [2, 1]",Down-Right,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -1  0  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -3  0  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 2  0  0  4  0  0  6]
7,p1,minimax,"[1, 4]","[5, 0] -> [6, 0]",Down,"[8, 3] -> [8, 2]",Left,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -1  0  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -3  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 2  0  4  0  0  0  6]
8,p2,minimax,"[-3, -1]","[4, 3] -> [4, 2]",Left,"[2, 1] -> [2, 0]",Left,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 2  0  4  0  0  0  6]
9,p1,minimax,"[5, 3]","[6, 4] -> [5, 5]",Up-Right,"[6, 2] -> [5, 3]",Up-Right,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  3  0  5  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 2  0  4  0  0  0  6]
10,p2,minimax,"[-1, -3]","[2, 0] -> [2, 1]",Right,"[4, 2] -> [5, 1]",Down-Left,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -1  0  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  3  0  5  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 2  0  4  0  0  0  6]
11,p1,minimax,"[5, 3]","[5, 5] -> [6, 4]",Down-Left,"[5, 3] -> [4, 2]",Up-Left,1,1,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -1  0  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0 -3  0  0  0  0  0] | [ 1  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 2  0  4  0  0  0  6]
12,p2,minimax,"[-3, -1]","[5, 1] -> [6, 2]",Down-Right,"[2, 1] -> [3, 1]",Down,2,3,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  0 -6] | [ 0 -1  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0 -3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 2  0  4  0  0  0  6]
