turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,minimax,"[6, 1]","[7, 6] -> [8, 6]",Down,"[7, 0] -> [6, 0]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
2,p2,random,"[-5, -3]","[2, 4] -> [3, 3]",Down-Left,"[2, 2] -> [3, 1]",Down-Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
3,p1,minimax,"[6, 5]","[8, 6] -> [7, 6]",Up,"[6, 4] -> [5, 4]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
4,p2,random,"[-6, -1]","[1, 6] -> [2, 6]",Down,"[1, 0] -> [0, 0]",Up,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
5,p1,minimax,"[5, 6]","[5, 4] -> [6, 4]",Down,"[7, 6] -> [6, 6]",Up,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
6,p2,random,"[-4, -2]","[0, 4] -> [1, 4]",Down,"[0, 2] -> [1, 2]",Down,0,0,[-1  0  0  0  0  0  0] | [ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
7,p1,minimax,"[5, 6]","[6, 4] -> [5, 5]",Up-Right,"[6, 6] -> [7, 6]",Down,0,0,[-1  0  0  0  0  0  0] | [ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
8,p2,random,"[-4, -2]","[1, 4] -> [0, 4]",Up,"[1, 2] -> [0, 2]",Up,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
9,p1,minimax,"[5, 2]","[5, 5] -> [6, 4]",Down-Left,"[8, 2] -> [8, 1]",Left,0,0,[-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  6] | [ 0  2  0  0  4  0  0]
10,p2,random,"[-6, -4]","[2, 6] -> [2, 5]",Left,"[0, 4] -> [0, 5]",Right,0,0,[-1  0 -2  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0 -6  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  6] | [ 0  2  0  0  4  0  0]
11,p1,minimax,"[5, 4]","[6, 4] -> [5, 4]",Up,"[8, 4] -> [7, 4]",Up,0,0,[-1  0 -2  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0 -6  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 0  2  0  0  0  0  0]
12,p2,random,"[-1, -5]","[0, 0] -> [1, 0]",Down,"[3, 3] -> [4, 4]",Down-Right,0,0,[ 0  0 -2  0  0 -4  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  0 -6  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 0  2  0  0  0  0  0]
13,p1,minimax,"[4, 6]","[7, 4] -> [8, 4]",Down,"[7, 6] -> [6, 6]",Up,0,0,[ 0  0 -2  0  0 -4  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  0 -6  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  3  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  0]
14,p2,random,"[-6, -4]","[2, 5] -> [2, 6]",Right,"[0, 5] -> [0, 6]",Right,0,0,[ 0  0 -2  0  0  0 -4] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  3  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  0]
