turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,minimax,"[3, 5]","[6, 2] -> [5, 1]",Up-Left,"[6, 4] -> [5, 5]",Up-Right,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
2,p2,random,"[-1, -6]","[1, 0] -> [2, 0]",Down,"[1, 6] -> [0, 6]",Up,0,0,[ 0  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
3,p1,minimax,"[2, 5]","[8, 2] -> [7, 2]",Up,"[5, 5] -> [5, 4]",Left,0,0,[ 0  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
4,p2,random,"[-5, -3]","[2, 4] -> [3, 4]",Down,"[2, 2] -> [3, 2]",Down,0,0,[ 0  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [-1  0  0  0  0  0  0] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
5,p1,minimax,"[6, 2]","[7, 6] -> [8, 6]",Down,"[7, 2] -> [8, 2]",Down,0,0,[ 0  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [-1  0  0  0  0  0  0] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
6,p2,random,"[-2, -3]","[0, 2] -> [1, 2]",Down,"[3, 2] -> [4, 2]",Down,0,0,[ 0  0  0  0 -4  0 -6] | [ 0  0 -2  0  0  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
7,p1,minimax,"[3, 4]","[5, 1] -> [5, 2]",Right,"[8, 4] -> [7, 4]",Up,0,0,[ 0  0  0  0 -4  0 -6] | [ 0  0 -2  0  0  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  4  0  0] | [ 0  0  2  0  0  0  6]
8,p2,random,"[-6, -3]","[0, 6] -> [1, 6]",Down,"[4, 2] -> [5, 3]",Down-Right,0,1,[ 0  0  0  0 -4  0  0] | [ 0  0 -2  0  0  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3 -3  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  4  0  0] | [ 0  0  2  0  0  0  6]
9,p1,minimax,"[6, 2]","[8, 6] -> [7, 6]",Up,"[8, 2] -> [7, 2]",Up,0,1,[ 0  0  0  0 -4  0  0] | [ 0  0 -2  0  0  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3 -3  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6] | [ 0  0  0  0  0  0  0]
10,p2,random,"[-2, -6]","[1, 2] -> [0, 2]",Up,"[1, 6] -> [2, 6]",Down,0,1,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3 -3  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6] | [ 0  0  0  0  0  0  0]
