turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,random,"[5, 3]","[6, 4] -> [5, 4]",Up,"[6, 2] -> [5, 1]",Up-Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
2,p2,greedy,"[-6, -1]","[1, 6] -> [2, 6]",Down,"[1, 0] -> [2, 0]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
3,p1,random,"[5, 3]","[5, 4] -> [5, 5]",Right,"[5, 1] -> [4, 0]",Up-Left,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
4,p2,greedy,"[-2, -3]","[0, 2] -> [0, 1]",Left,"[2, 2] -> [3, 2]",Down,0,0,[ 0 -2  0  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0 -3  0  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
5,p1,random,"[1, 6]","[7, 0] -> [6, 0]",Up,"[7, 6] -> [8, 6]",Down,0,0,[ 0 -2  0  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0 -3  0  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
6,p2,greedy,"[-4, -6]","[0, 4] -> [0, 3]",Left,"[2, 6] -> [3, 6]",Down,0,0,[ 0 -2  0 -4  0  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0  0] | [ 0  0 -3  0  0  0 -6] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
7,p1,random,"[4, 6]","[8, 4] -> [7, 4]",Up,"[8, 6] -> [7, 6]",Up,0,0,[ 0 -2  0 -4  0  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0  0] | [ 0  0 -3  0  0  0 -6] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 0  0  2  0  0  0  0]
8,p2,greedy,"[-6, -4]","[3, 6] -> [2, 6]",Up,"[0, 3] -> [0, 4]",Right,0,0,[ 0 -2  0  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0 -3  0  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 0  0  2  0  0  0  0]
9,p1,random,"[6, 4]","[7, 6] -> [8, 6]",Down,"[7, 4] -> [8, 4]",Down,0,0,[ 0 -2  0  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0 -3  0  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
10,p2,greedy,"[-2, -4]","[0, 1] -> [0, 0]",Left,"[0, 4] -> [0, 5]",Right,0,0,[-2  0  0  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0 -3  0  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
11,p1,random,"[5, 2]","[5, 5] -> [6, 5]",Down,"[8, 2] -> [7, 2]",Up,0,0,[-2  0  0  0  0 -4  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0 -3  0  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  5  0] | [ 0  0  2  0  0  0  0] | [ 0  0  0  0  4  0  6]
12,p2,greedy,"[-4, -3]","[0, 5] -> [0, 4]",Left,"[3, 2] -> [4, 1]",Down-Left,0,0,[-2  0  0  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 3 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  5  0] | [ 0  0  2  0  0  0  0] | [ 0  0  0  0  4  0  6]
13,p1,random,"[5, 1]","[6, 5] -> [5, 4]",Up-Left,"[6, 0] -> [7, 0]",Down,0,0,[-2  0  0  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [ 3 -3  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  4  0  6]
14,p2,greedy,"[-5, -6]","[2, 4] -> [3, 4]",Down,"[2, 6] -> [1, 6]",Up,0,0,[-2  0  0  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 3 -3  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  4  0  6]
15,p1,random,"[2, 5]","[7, 2] -> [6, 2]",Up,"[5, 4] -> [6, 4]",Down,0,0,[-2  0  0  0 -4  0  0] | [ 0  0  0  0  0  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 3 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  5  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  4  0  6]
16,p2,greedy,"[-4, -5]","[0, 4] -> [0, 3]",Left,"[3, 4] -> [3, 3]",Left,0,0,[-2  0  0 -4  0  0  0] | [ 0  0  0  0  0  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 3 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  5  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  4  0  6]
17,p1,random,"[5, 6]","[6, 4] -> [5, 5]",Up-Right,"[8, 6] -> [7, 6]",Up,0,0,[-2  0  0 -4  0  0  0] | [ 0  0  0  0  0  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 3 -3  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  2  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0]
18,p2,greedy,"[-4, -2]","[0, 3] -> [1, 4]",Down-Right,"[0, 0] -> [0, 1]",Right,0,0,[ 0 -2  0  0  0  0  0] | [ 0  0  0  0 -4  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 3 -3  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  2  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0]
19,p1,random,"[6, 1]","[7, 6] -> [8, 6]",Down,"[7, 0] -> [8, 1]",Down-Right,0,0,[ 0 -2  0  0  0  0  0] | [ 0  0  0  0 -4  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 3 -3  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  2  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  1  0  0  4  0  6]
20,p2,greedy,"[-3, -4]","[4, 1] -> [5, 1]",Down,"[1, 4] -> [1, 3]",Left,0,1,[ 0 -2  0  0  0  0  0] | [ 0  0  0 -4  0  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0 -3  0  0  0  5  0] | [ 0  0  2  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  1  0  0  4  0  6]
21,p1,random,"[1, 4]","[8, 1] -> [7, 0]",Up-Left,"[8, 4] -> [7, 4]",Up,0,1,[ 0 -2  0  0  0  0  0] | [ 0  0  0 -4  0  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0 -3  0  0  0  5  0] | [ 0  0  2  0  0  0  0] | [ 1  0  0  0  4  0  0] | [ 0  0  0  0  0  0  6]
22,p2,greedy,"[-6, -4]","[1, 6] -> [0, 6]",Up,"[1, 3] -> [0, 3]",Up,0,1,[ 0 -2  0 -4  0  0 -6] | [ 0  0  0  0  0  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0 -3  0  0  0  5  0] | [ 0  0  2  0  0  0  0] | [ 1  0  0  0  4  0  0] | [ 0  0  0  0  0  0  6]
23,p1,random,"[3, 1]","[4, 0] -> [3, 1]",Up-Right,"[7, 0] -> [6, 0]",Up,1,1,[ 0 -2  0 -4  0  0 -6] | [ 0  0  0  0  0  0  0] | [-1  0  0  0  0  0  0] | [ 0  3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  5  0] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  4  0  0] | [ 0  0  0  0  0  0  6]
24,p2,greedy,"[-6, -4]","[0, 6] -> [1, 5]",Down-Left,"[0, 3] -> [1, 3]",Down,1,1,[ 0 -2  0  0  0  0  0] | [ 0  0  0 -4  0 -6  0] | [-1  0  0  0  0  0  0] | [ 0  3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  5  0] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  4  0  0] | [ 0  0  0  0  0  0  6]
25,p1,random,"[1, 2]","[6, 0] -> [7, 1]",Down-Right,"[6, 2] -> [5, 2]",Up,1,2,[ 0 -2  0  0  0  0  0] | [ 0  0  0 -4  0 -6  0] | [-1  0  0  0  0  0  0] | [ 0  3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  2  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 0  1  0  0  4  0  0] | [ 0  0  0  0  0  0  6]
26,p2,greedy,"[-5, -3]","[3, 3] -> [4, 3]",Down,"[5, 1] -> [5, 0]",Left,1,2,[ 0 -2  0  0  0  0  0] | [ 0  0  0 -4  0 -6  0] | [-1  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0 -5  0  0  0] | [-3  0  2  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 0  1  0  0  4  0  0] | [ 0  0  0  0  0  0  6]
