turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,random,"[2, 3]","[8, 2] -> [7, 2]",Up,"[6, 2] -> [5, 2]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
2,p2,greedy,"[-3, -5]","[2, 2] -> [3, 1]",Down-Left,"[2, 4] -> [3, 4]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
3,p1,random,"[2, 3]","[7, 2] -> [6, 2]",Up,"[5, 2] -> [4, 3]",Up-Right,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0 -5  0  0] | [ 0  0  0  3  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  5  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0]
4,p2,greedy,"[-4, -3]","[0, 4] -> [1, 4]",Down,"[3, 1] -> [4, 1]",Down,0,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0 -3  0  3  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  5  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  0  0  4  0  0]
5,p1,random,"[4, 5]","[8, 4] -> [7, 4]",Up,"[6, 4] -> [5, 5]",Up-Right,0,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0 -3  0  3  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  2  0  0  0  0] | [ 1  0  0  0  4  0  6] | [ 0  0  0  0  0  0  0]
6,p2,greedy,"[-6, -4]","[1, 6] -> [2, 6]",Down,"[1, 4] -> [0, 5]",Up-Right,0,0,[ 0  0 -2  0  0 -4  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0 -3  0  3  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  2  0  0  0  0] | [ 1  0  0  0  4  0  6] | [ 0  0  0  0  0  0  0]
7,p1,random,"[3, 1]","[4, 3] -> [3, 3]",Up,"[7, 0] -> [8, 1]",Down-Right,0,0,[ 0  0 -2  0  0 -4  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  3 -5  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  2  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 0  1  0  0  0  0  0]
8,p2,greedy,"[-4, -3]","[0, 5] -> [0, 4]",Left,"[4, 1] -> [5, 1]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  3 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  5  0] | [ 0  0  2  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 0  1  0  0  0  0  0]
9,p1,random,"[3, 5]","[3, 3] -> [4, 4]",Down-Right,"[5, 5] -> [5, 6]",Right,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  3  0  0] | [ 0 -3  0  0  0  0  5] | [ 0  0  2  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 0  1  0  0  0  0  0]
10,p2,greedy,"[-4, -6]","[0, 4] -> [1, 4]",Down,"[2, 6] -> [3, 6]",Down,0,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0 -5  0 -6] | [ 0  0  0  0  3  0  0] | [ 0 -3  0  0  0  0  5] | [ 0  0  2  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 0  1  0  0  0  0  0]
