turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,random,"[5, 3]","[6, 4] -> [5, 4]",Up,"[6, 2] -> [5, 1]",Up-Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
2,p2,random,"[-5, -4]","[2, 4] -> [3, 4]",Down,"[0, 4] -> [1, 4]",Down,0,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
3,p1,random,"[6, 5]","[7, 6] -> [6, 6]",Up,"[5, 4] -> [4, 5]",Up-Right,0,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  5  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
4,p2,random,"[-4, -6]","[1, 4] -> [0, 5]",Up-Right,"[1, 6] -> [2, 6]",Down,0,0,[ 0  0 -2  0  0 -4  0] | [-1  0  0  0  0  0  0] | [ 0  0 -3  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  5  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
5,p1,random,"[3, 4]","[5, 1] -> [4, 2]",Up-Right,"[8, 4] -> [8, 5]",Right,0,0,[ 0  0 -2  0  0 -4  0] | [-1  0  0  0  0  0  0] | [ 0  0 -3  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0  3  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  0  4  0]
6,p2,random,"[-3, -2]","[2, 2] -> [3, 1]",Down-Left,"[0, 2] -> [1, 3]",Down-Right,0,0,[ 0  0  0  0  0 -4  0] | [-1  0  0 -2  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0  0 -5  0  0] | [ 0  0  3  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  0  4  0]
7,p1,random,"[5, 3]","[4, 5] -> [3, 6]",Up-Right,"[4, 2] -> [4, 1]",Left,0,0,[ 0  0  0  0  0 -4  0] | [-1  0  0 -2  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0  0 -5  0  5] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  0  4  0]
8,p2,random,"[-1, -2]","[1, 0] -> [0, 0]",Up,"[1, 3] -> [1, 2]",Left,0,0,[-1  0  0  0  0 -4  0] | [ 0  0 -2  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0  0 -5  0  5] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  0  4  0]
9,p1,random,"[3, 4]","[4, 1] -> [4, 2]",Right,"[8, 5] -> [7, 4]",Up-Left,0,0,[-1  0  0  0  0 -4  0] | [ 0  0 -2  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0  0 -5  0  5] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  0  0  4  0  0] | [ 0  0  2  0  0  0  0]
10,p2,random,"[-5, -2]","[3, 4] -> [4, 4]",Down,"[1, 2] -> [1, 3]",Right,0,0,[-1  0  0  0  0 -4  0] | [ 0  0  0 -2  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0 -3  0  0  0  0  5] | [ 0  0  3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 1  0  0  0  4  0  0] | [ 0  0  2  0  0  0  0]
