turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,random,"[1, 6]","[7, 0] -> [8, 0]",Down,"[7, 6] -> [8, 6]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6]
2,p2,random,"[-2, -3]","[0, 2] -> [1, 2]",Down,"[2, 2] -> [3, 2]",Down,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6]
3,p1,random,"[3, 2]","[6, 2] -> [5, 2]",Up,"[8, 2] -> [7, 2]",Up,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  2  0  0  0  0] | [ 1  0  0  0  4  0  6]
4,p2,random,"[-3, -1]","[3, 2] -> [3, 1]",Left,"[1, 0] -> [0, 0]",Up,0,0,[-1  0  0  0 -4  0  0] | [ 0  0 -2  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  2  0  0  0  0] | [ 1  0  0  0  4  0  6]
5,p1,random,"[3, 2]","[5, 2] -> [6, 1]",Down-Left,"[7, 2] -> [8, 2]",Down,0,0,[-1  0  0  0 -4  0  0] | [ 0  0 -2  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0 -3  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6]
6,p2,random,"[-4, -5]","[0, 4] -> [1, 4]",Down,"[2, 4] -> [3, 5]",Down-Right,0,0,[-1  0  0  0  0  0  0] | [ 0  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6]
7,p1,random,"[3, 5]","[6, 1] -> [6, 0]",Left,"[6, 4] -> [6, 3]",Left,0,0,[-1  0  0  0  0  0  0] | [ 0  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 3  0  0  5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6]
8,p2,random,"[-3, -5]","[3, 1] -> [4, 1]",Down,"[3, 5] -> [4, 4]",Down-Left,0,0,[-1  0  0  0  0  0  0] | [ 0  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 3  0  0  5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6]
9,p1,random,"[5, 3]","[6, 3] -> [5, 4]",Up-Right,"[6, 0] -> [5, 0]",Up,0,0,[-1  0  0  0  0  0  0] | [ 0  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0 -5  0  0] | [ 3  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6]
10,p2,random,"[-2, -4]","[1, 2] -> [0, 2]",Up,"[1, 4] -> [2, 4]",Down,0,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0 -5  0  0] | [ 3  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6]
11,p1,random,"[3, 5]","[5, 0] -> [6, 0]",Down,"[5, 4] -> [4, 5]",Up-Right,0,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0 -5  5  0] | [ 0  0  0  0  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6]
12,p2,random,"[-4, -5]","[2, 4] -> [3, 3]",Down-Left,"[4, 4] -> [3, 5]",Up-Right,0,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -4  0 -5  0] | [ 0 -3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6]
13,p1,random,"[4, 6]","[8, 4] -> [7, 4]",Up,"[8, 6] -> [7, 6]",Up,0,0,[-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -4  0 -5  0] | [ 0 -3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 1  0  2  0  0  0  0]
14,p2,random,"[-5, -2]","[3, 5] -> [4, 6]",Down-Right,"[0, 2] -> [1, 3]",Down-Right,1,0,[-1  0  0  0  0  0  0] | [ 0  0  0 -2  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -4  0  0  0] | [ 0 -3  0  0  0  5 -5] | [ 0  0  0  0  0  0  0] | [ 3  0  0  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 1  0  2  0  0  0  0]
15,p1,random,"[6, 4]","[7, 6] -> [8, 5]",Down-Left,"[7, 4] -> [6, 4]",Up,1,0,[-1  0  0  0  0  0  0] | [ 0  0  0 -2  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0  0  0 -4  0  0  0] | [ 0 -3  0  0  0  5 -5] | [ 0  0  0  0  0  0  0] | [ 3  0  0  0  4  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  0  6  0]
16,p2,random,"[-4, -2]","[3, 3] -> [2, 2]",Up-Left,"[1, 3] -> [0, 4]",Up-Right,1,0,[-1  0  0  0 -2  0  0] | [ 0  0  0  0  0  0 -6] | [ 0  0 -4  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  5 -5] | [ 0  0  0  0  0  0  0] | [ 3  0  0  0  4  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  0  6  0]
