turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,minimax,"[6, 1]","[7, 6] -> [6, 6]",Up,"[7, 0] -> [6, 0]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
2,p2,greedy,"[-3, -5]","[2, 2] -> [3, 1]",Down-Left,"[2, 4] -> [3, 3]",Down-Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
3,p1,minimax,"[6, 5]","[6, 6] -> [7, 6]",Down,"[6, 4] -> [5, 4]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
4,p2,greedy,"[-5, -3]","[3, 3] -> [2, 4]",Up-Right,"[3, 1] -> [4, 0]",Down-Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [-3  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  6] | [ 0  0  2  0  4  0  0]
5,p1,minimax,"[5, 6]","[5, 4] -> [4, 4]",Up,"[7, 6] -> [6, 6]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [-3  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
6,p2,greedy,"[-6, -1]","[1, 6] -> [2, 6]",Down,"[1, 0] -> [2, 0]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0  0  0  0  0  0] | [-3  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
7,p1,minimax,"[5, 4]","[4, 4] -> [3, 5]",Up-Right,"[8, 4] -> [8, 5]",Right,0,0,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [-1  0  0  0 -5  0 -6] | [ 0  0  0  0  0  5  0] | [-3  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  4  0]
8,p2,greedy,"[-5, -2]","[2, 4] -> [3, 3]",Down-Left,"[0, 2] -> [1, 2]",Down,0,0,[ 0  0  0  0 -4  0  0] | [ 0  0 -2  0  0  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0 -5  0  5  0] | [-3  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  4  0]
9,p1,minimax,"[4, 5]","[8, 5] -> [8, 4]",Left,"[3, 5] -> [2, 5]",Up,1,0,[ 0  0  0  0 -4  0  0] | [ 0  0 -2  0  0  0  0] | [-1  0  0  0  0  5 -6] | [ 0  0  0 -5  0  0  0] | [-3  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
10,p2,greedy,"[-1, -3]","[2, 0] -> [1, 0]",Up,"[4, 0] -> [3, 1]",Up-Right,1,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  5 -6] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  0  6] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
11,p1,minimax,"[6, 4]","[6, 6] -> [6, 5]",Left,"[8, 4] -> [8, 5]",Right,1,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0  0] | [ 0  0  0  0  0  5 -6] | [ 0 -3  0 -5  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  6  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  4  0]
12,p2,greedy,"[-6, -4]","[2, 6] -> [3, 5]",Down-Left,"[0, 4] -> [1, 4]",Down,1,1,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  5  0] | [ 0 -3  0 -5  0 -6  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  6  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  4  0]
13,p1,minimax,"[6, 4]","[6, 5] -> [5, 4]",Up-Left,"[8, 5] -> [8, 4]",Left,1,1,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  5  0] | [ 0 -3  0 -5  0 -6  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  6  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
14,p2,greedy,"[-3, -5]","[3, 1] -> [4, 0]",Down-Left,"[3, 3] -> [3, 2]",Left,1,1,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0 -5  0  0 -6  0] | [-3  0  0  0  0  0  0] | [ 0  0  0  0  6  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
15,p1,minimax,"[1, 2]","[6, 0] -> [5, 0]",Up,"[8, 2] -> [8, 1]",Left,1,1,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0 -5  0  0 -6  0] | [-3  0  0  0  0  0  0] | [ 1  0  0  0  6  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  0]
16,p2,greedy,"[-1, -3]","[1, 0] -> [0, 0]",Up,"[4, 0] -> [5, 1]",Down-Right,1,2,[-1  0  0  0  0  0  0] | [ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0 -5  0  0 -6  0] | [ 0  0  0  0  0  0  0] | [ 1 -3  0  0  6  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  0]
17,p1,minimax,"[2, 6]","[8, 1] -> [8, 2]",Right,"[5, 4] -> [4, 4]",Up,1,2,[-1  0  0  0  0  0  0] | [ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0 -5  0  0 -6  0] | [ 0  0  0  0  6  0  0] | [ 1 -3  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
18,p2,greedy,"[-5, -4]","[3, 2] -> [4, 3]",Down-Right,"[1, 4] -> [0, 4]",Up,1,2,[-1  0  0  0 -4  0  0] | [ 0  0 -2  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  0  0 -6  0] | [ 0  0  0 -5  6  0  0] | [ 1 -3  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
19,p1,minimax,"[4, 2]","[8, 4] -> [7, 4]",Up,"[8, 2] -> [8, 1]",Left,1,2,[-1  0  0  0 -4  0  0] | [ 0  0 -2  0  0  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  0  0 -6  0] | [ 0  0  0 -5  6  0  0] | [ 1 -3  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  4  0  0] | [ 0  2  0  0  0  0  0]
20,p2,greedy,"[-1, -4]","[0, 0] -> [1, 0]",Down,"[0, 4] -> [1, 4]",Down,1,2,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  0  0 -6  0] | [ 0  0  0 -5  6  0  0] | [ 1 -3  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  4  0  0] | [ 0  2  0  0  0  0  0]
21,p1,minimax,"[4, 6]","[7, 4] -> [8, 4]",Down,"[4, 4] -> [3, 3]",Up-Left,1,2,[ 0  0  0  0  0  0  0] | [-1  0 -2  0 -4  0  0] | [ 0  0  0  0  0  5  0] | [ 0  0  0  6  0 -6  0] | [ 0  0  0 -5  0  0  0] | [ 1 -3  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  0]
22,p2,greedy,"[-2, -1]","[1, 2] -> [0, 2]",Up,"[1, 0] -> [2, 1]",Down-Right,1,2,[ 0  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0  0] | [ 0 -1  0  0  0  5  0] | [ 0  0  0  6  0 -6  0] | [ 0  0  0 -5  0  0  0] | [ 1 -3  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  0]
23,p1,minimax,"[4, 2]","[8, 4] -> [7, 4]",Up,"[8, 1] -> [8, 2]",Right,1,2,[ 0  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0  0] | [ 0 -1  0  0  0  5  0] | [ 0  0  0  6  0 -6  0] | [ 0  0  0 -5  0  0  0] | [ 1 -3  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  4  0  0] | [ 0  0  2  0  0  0  0]
24,p2,greedy,"[-1, -5]","[2, 1] -> [2, 2]",Right,"[4, 3] -> [5, 4]",Down-Right,1,2,[ 0  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0  0] | [ 0  0 -1  0  0  5  0] | [ 0  0  0  6  0 -6  0] | [ 0  0  0  0  0  0  0] | [ 1 -3  0  0 -5  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  4  0  0] | [ 0  0  2  0  0  0  0]
25,p1,minimax,"[3, 2]","[6, 2] -> [5, 2]",Up,"[8, 2] -> [7, 1]",Up-Left,2,3,[ 0  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0  0] | [ 0  0 -1  0  0  5  0] | [ 0  0  0  6  0 -6  0] | [ 0  0  0  0  0  0  0] | [ 1 -3  3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  0] | [ 0  0  0  0  0  0  0]
26,p2,greedy,"[-5, -4]","[5, 4] -> [4, 3]",Up-Left,"[1, 4] -> [0, 4]",Up,2,4,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0 -1  0  0  5  0] | [ 0  0  0  6  0 -6  0] | [ 0  0  0 -5  0  0  0] | [ 1 -3  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  0] | [ 0  0  0  0  0  0  0]
27,p1,minimax,"[4, 2]","[7, 4] -> [8, 4]",Down,"[7, 1] -> [7, 2]",Right,2,4,[ 0  0 -2  0 -4  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0 -1  0  0  5  0] | [ 0  0  0  6  0 -6  0] | [ 0  0  0 -5  0  0  0] | [ 1 -3  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  0  0] | [ 0  0  0  0  4  0  0]
28,p2,greedy,"[-4, -1]","[0, 4] -> [1, 4]",Down,"[2, 2] -> [2, 1]",Left,2,4,[ 0  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0  0] | [ 0 -1  0  0  0  5  0] | [ 0  0  0  6  0 -6  0] | [ 0  0  0 -5  0  0  0] | [ 1 -3  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  0  0  0] | [ 0  0  0  0  4  0  0]
29,p1,minimax,"[3, 2]","[5, 2] -> [6, 2]",Down,"[7, 2] -> [8, 2]",Down,2,4,[ 0  0 -2  0  0  0  0] | [ 0  0  0  0 -4  0  0] | [ 0 -1  0  0  0  5  0] | [ 0  0  0  6  0 -6  0] | [ 0  0  0 -5  0  0  0] | [ 1 -3  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
30,p2,greedy,"[-2, -6]","[0, 2] -> [0, 1]",Left,"[3, 5] -> [4, 5]",Down,2,4,[ 0 -2  0  0  0  0  0] | [ 0  0  0  0 -4  0  0] | [ 0 -1  0  0  0  5  0] | [ 0  0  0  6  0  0  0] | [ 0  0  0 -5  0 -6  0] | [ 1 -3  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  0]
