turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,minimax,"[1, 6]","[7, 0] -> [6, 0]",Up,"[7, 6] -> [8, 6]",Down,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
2,p2,random,"[-6, -1]","[1, 6] -> [0, 6]",Up,"[1, 0] -> [2, 0]",Down,0,0,[ 0  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
3,p1,minimax,"[3, 1]","[6, 2] -> [5, 2]",Up,"[6, 0] -> [5, 0]",Up,0,0,[ 0  0 -2  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
4,p2,random,"[-4, -2]","[0, 4] -> [0, 3]",Left,"[0, 2] -> [0, 1]",Left,0,0,[ 0 -2  0 -4  0  0 -6] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
5,p1,minimax,"[3, 1]","[5, 2] -> [4, 2]",Up,"[5, 0] -> [6, 0]",Down,0,0,[ 0 -2  0 -4  0  0 -6] | [ 0  0  0  0  0  0  0] | [-1  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
6,p2,random,"[-3, -5]","[2, 2] -> [3, 2]",Down,"[2, 4] -> [3, 5]",Down-Right,0,0,[ 0 -2  0 -4  0  0 -6] | [ 0  0  0  0  0  0  0] | [-1  0  0  0  0  0  0] | [ 0  0 -3  0  0 -5  0] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6]
7,p1,minimax,"[3, 2]","[4, 2] -> [3, 3]",Up-Right,"[8, 2] -> [8, 1]",Left,1,0,[ 0 -2  0 -4  0  0 -6] | [ 0  0  0  0  0  0  0] | [-1  0  0  0  0  0  0] | [ 0  0 -3  3  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  6]
8,p2,random,"[-6, -4]","[0, 6] -> [1, 5]",Down-Left,"[0, 3] -> [1, 3]",Down,1,0,[ 0 -2  0  0  0  0  0] | [ 0  0  0 -4  0 -6  0] | [-1  0  0  0  0  0  0] | [ 0  0 -3  3  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  6]
9,p1,minimax,"[3, 1]","[3, 3] -> [3, 4]",Right,"[6, 0] -> [6, 1]",Right,2,0,[ 0 -2  0  0  0  0  0] | [ 0  0  0 -4  0 -6  0] | [-1  0  0  0  0  0  0] | [ 0  0 -3  0  3 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  1  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  6]
10,p2,random,"[-5, -6]","[3, 5] -> [4, 4]",Down-Left,"[1, 5] -> [2, 5]",Down,2,1,[ 0 -2  0  0  0  0  0] | [ 0  0  0 -4  0  0  0] | [-1  0  0  0  0 -6  0] | [ 0  0 -3  0  3  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  1  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  6]
11,p1,minimax,"[3, 1]","[3, 4] -> [2, 3]",Up-Left,"[6, 1] -> [6, 0]",Left,3,1,[ 0 -2  0  0  0  0  0] | [ 0  0  0 -4  0  0  0] | [-1  0  0  3  0 -6  0] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  0  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  2  0  0  4  0  6]
