turn,player,agent,moved_pair,p1_move,p1_direction,p2_move,p2_direction,p1_score,p2_score,board_matrix_flattened
1,p1,random,"[2, 3]","[8, 2] -> [7, 2]",Up,"[6, 2] -> [5, 1]",Up-Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0 -5  0  0] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
2,p2,random,"[-5, -3]","[2, 4] -> [3, 5]",Down-Right,"[2, 2] -> [3, 1]",Down-Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  2  0  0  0  6] | [ 0  0  0  0  4  0  0]
3,p1,random,"[5, 4]","[6, 4] -> [5, 5]",Up-Right,"[8, 4] -> [7, 4]",Up,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0 -5  0] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6] | [ 0  0  0  0  0  0  0]
4,p2,random,"[-3, -5]","[3, 1] -> [2, 2]",Up-Right,"[3, 5] -> [3, 6]",Right,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0 -5] | [ 0  0  0  0  0  0  0] | [ 0  3  0  0  0  5  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6] | [ 0  0  0  0  0  0  0]
5,p1,random,"[3, 5]","[5, 1] -> [5, 2]",Right,"[5, 5] -> [5, 4]",Left,0,0,[ 0  0 -2  0 -4  0  0] | [-1  0  0  0  0  0 -6] | [ 0  0 -3  0  0  0  0] | [ 0  0  0  0  0  0 -5] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6] | [ 0  0  0  0  0  0  0]
6,p2,random,"[-2, -3]","[0, 2] -> [1, 2]",Down,"[2, 2] -> [3, 1]",Down-Left,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  0 -5] | [ 0  0  0  0  0  0  0] | [ 0  0  3  0  5  0  0] | [ 0  0  0  0  0  0  0] | [ 1  0  2  0  4  0  6] | [ 0  0  0  0  0  0  0]
7,p1,random,"[3, 1]","[5, 2] -> [4, 2]",Up,"[7, 0] -> [6, 0]",Up,0,0,[ 0  0  0  0 -4  0  0] | [-1  0 -2  0  0  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  0 -5] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6] | [ 0  0  0  0  0  0  0]
8,p2,random,"[-2, -6]","[1, 2] -> [0, 2]",Up,"[1, 6] -> [0, 6]",Up,0,0,[ 0  0 -2  0 -4  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  0  0  0  0 -5] | [ 0  0  3  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  2  0  4  0  6] | [ 0  0  0  0  0  0  0]
9,p1,random,"[2, 3]","[7, 2] -> [6, 2]",Up,"[4, 2] -> [3, 2]",Up,1,0,[ 0  0 -2  0 -4  0 -6] | [-1  0  0  0  0  0  0] | [ 0  0  0  0  0  0  0] | [ 0 -3  3  0  0  0 -5] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 0  0  0  0  0  0  0]
10,p2,random,"[-6, -4]","[0, 6] -> [1, 6]",Down,"[0, 4] -> [1, 4]",Down,1,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0 -6] | [ 0  0  0  0  0  0  0] | [ 0 -3  3  0  0  0 -5] | [ 0  0  0  0  0  0  0] | [ 0  0  0  0  5  0  0] | [ 1  0  2  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 0  0  0  0  0  0  0]
11,p1,random,"[2, 3]","[6, 2] -> [5, 2]",Up,"[3, 2] -> [2, 1]",Up-Left,1,0,[ 0  0 -2  0  0  0  0] | [-1  0  0  0 -4  0 -6] | [ 0  3  0  0  0  0  0] | [ 0 -3  0  0  0  0 -5] | [ 0  0  0  0  0  0  0] | [ 0  0  2  0  5  0  0] | [ 1  0  0  0  0  0  0] | [ 0  0  0  0  4  0  6] | [ 0  0  0  0  0  0  0]
